,Year,Player,Pos,Age,G,PER,MPG,PPG,APG,RPG,TOPG,BPG,SPG,salary17_18
128,2017.0,Derrick Favors,PF,25.0,50.0,15.8,23.72,9.52,1.12,6.1,1.2,0.8,0.9,12.0
129,2017.0,Kay Felder,PG,21.0,42.0,11.2,9.19047619047619,3.9523809523809526,1.380952380952381,0.9761904761904762,0.7380952380952381,0.16666666666666666,0.42857142857142855,1.312611
130,2017.0,Cristiano Felicio,C,24.0,66.0,15.2,15.757575757575758,4.787878787878788,0.6060606060606061,4.712121212121212,0.5,0.24242424242424243,0.3787878787878788,7.8435
131,2017.0,Raymond Felton,PG,32.0,80.0,10.9,21.25,6.725,2.3875,2.7125,1.0375,0.275,0.8375,2.328652
132,2017.0,Yogi Ferrell,PG,23.0,46.0,13.1,26.02173913043478,10.043478260869565,3.739130434782609,2.4130434782608696,1.5217391304347827,0.1956521739130435,0.9130434782608695,1.312611
133,2017.0,Dorian Finney-Smith,PF,23.0,81.0,7.7,20.271604938271604,4.320987654320987,0.8271604938271605,2.728395061728395,0.5555555555555556,0.30864197530864196,0.6419753086419753,1.312611
134,2017.0,Bryn Forbes,SG,23.0,36.0,5.9,7.916666666666667,2.611111111111111,0.6388888888888888,0.6388888888888888,0.3055555555555556,0.0,0.027777777777777776,1.312611
135,2017.0,Evan Fournier,SG,24.0,68.0,13.9,32.85294117647059,17.16176470588235,2.9705882352941178,3.073529411764706,2.073529411764706,0.058823529411764705,0.9705882352941176,17.0
136,2017.0,Tim Frazier,PG,26.0,65.0,12.4,23.46153846153846,7.138461538461539,5.153846153846154,2.6615384615384614,1.5538461538461539,0.09230769230769231,0.8615384615384616,2.0
137,2017.0,Channing Frye,C,33.0,74.0,15.6,18.89189189189189,9.135135135135135,0.6081081081081081,3.918918918918919,0.7162162162162162,0.5,0.44594594594594594,7.420912
138,2017.0,Danilo Gallinari,SF,28.0,63.0,17.4,33.87301587301587,18.174603174603174,2.142857142857143,5.174603174603175,1.2857142857142858,0.23809523809523808,0.6349206349206349,20.559599
139,2017.0,Langston Galloway,PG,25.0,74.0,10.4,20.2027027027027,7.905405405405405,1.2567567567567568,2.108108108108108,0.6216216216216216,0.08108108108108109,0.6216216216216216,6.666667
140,2017.0,Marc Gasol,C,32.0,74.0,20.2,34.2027027027027,19.54054054054054,4.5675675675675675,6.243243243243243,2.2432432432432434,1.337837837837838,0.9054054054054054,22.64235
141,2017.0,Pau Gasol,C,36.0,64.0,20.2,25.421875,12.375,2.34375,7.828125,1.265625,1.09375,0.375,16.0
142,2017.0,Rudy Gay,SF,30.0,30.0,17.9,33.766666666666666,18.733333333333334,2.7333333333333334,6.333333333333333,2.466666666666667,0.8666666666666667,1.4666666666666666,8.406
143,2017.0,Michael Gbinije,SG,24.0,9.0,-2.1,3.5555555555555554,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,0.0,0.0,0.5
144,2017.0,Paul George,SF,26.0,75.0,20.2,35.85333333333333,23.666666666666668,3.3466666666666667,6.56,2.9066666666666667,0.36,1.56,19.508958
145,2017.0,Marcus Georges-Hunt,SG,22.0,5.0,10.2,9.6,2.8,0.6,1.8,0.4,0.0,0.2,1.312611
146,2017.0,Taj Gibson,PF,31.0,78.0,15.1,25.5,10.846153846153847,0.9358974358974359,6.230769230769231,1.3461538461538463,0.8461538461538461,0.5384615384615384,14.0
147,2017.0,Manu Ginobili,SG,39.0,69.0,13.9,18.71014492753623,7.492753623188406,2.652173913043478,2.2753623188405796,1.391304347826087,0.2318840579710145,1.1884057971014492,2.5
148,2017.0,Rudy Gobert,C,24.0,81.0,23.3,33.876543209876544,14.037037037037036,1.1975308641975309,12.777777777777779,1.8271604938271604,2.6419753086419755,0.6049382716049383,21.974719
149,2017.0,Aaron Gordon,SF,21.0,80.0,14.4,28.725,12.7375,1.875,5.0625,1.1125,0.5,0.8,5.50442
